OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species,
OTU14,479,193,342,745,575,495,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU9,399,220,527,741,975,414,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__,
OTU12,353,149,207,140,221,400,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU40,275,103,259,295,306,225,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU23,253,84,178,294,202,223,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__,
OTU60,246,84,136,237,147,306,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU13,232,75,268,170,366,163,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU83,204,74,131,114,140,172,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__,
OTU24,192,60,230,189,247,174,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU44,192,59,104,282,221,127,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU111,189,78,108,19,104,250,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU36,169,85,79,13,81,134,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU19,155,110,160,425,196,166,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU21,153,71,122,146,126,102,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU41,144,27,25,65,56,53,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus,,
OTU1533,138,57,104,196,165,135,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
