OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU4,17966,10006,175,329,231,1,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,s__Mucor_circinelloides
OTU5,45,9258,161,1,2,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Pseudotricholoma,s__Pseudotricholoma_umbrosum
OTU27,12,1580,29,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
OTU26,10,1499,372,2,3,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
OTU35,4,940,0,0,0,4,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Trichoglossum,s__Trichoglossum_walteri
OTU16,16,767,1681,3,66,401,k__Fungi,p__Ascomycota,,,,,
OTU31,54,489,1673,100,24,2,k__Plantae,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
OTU2,1334,464,0,4,3,2,k__Fungi,,,,,,
OTU72,2,373,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,
OTU11,1058,311,1682,254,335,360,k__Fungi,p__Ascomycota,,,,,
OTU66,1,308,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
OTU487,4,225,2,0,30,166,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Leotiomycetes_fam_Incertae_sedis,g__Leohumicola,s__Leohumicola_verrucosa
OTU52,1,176,470,0,2,2,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,
OTU88,2,175,0,0,0,1,k__Fungi,p__Ascomycota,,,,,
OTU1,624,173,0,0,0,0,k__Fungi,,,,,,
OTU98,1,167,29,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,
OTU67,0,120,125,0,1,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Cuphophyllus,s__Cuphophyllus_lacmus
OTU133,2,113,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,,
OTU42,749,108,130,195,273,365,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Leotiomycetes_fam_Incertae_sedis,g__Leohumicola,s__unidentified
OTU132,1,94,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Leotiomycetes_fam_Incertae_sedis,g__Leohumicola,s__unidentified
OTU9,63,87,1536,3085,467,25,k__Fungi,p__Basidiomycota,c__Geminibasidiomycetes,o__Geminibasidiales,f__Geminibasidiaceae,g__Geminibasidium,s__unidentified
OTU8,214,82,532,3803,2935,1550,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,s__Saitozyma_podzolica
OTU77,28,69,90,64,152,81,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,
OTU211,108,51,4,0,0,0,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,s__Mucor_circinelloides
OTU129,125,44,220,7,1,1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Gloniaceae,g__Cenococcum,
OTU118,0,35,33,1,1,0,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,,
OTU154,451,32,7,15,0,12,k__Plantae,p__Anthophyta,c__Monocotyledonae,o__Poales,f__Poaceae,g__unidentified,s__unidentified
OTU13,19,32,111,477,1591,754,k__Fungi,p__Ascomycota,c__Leotiomycetes,,,,
OTU273,0,32,3,0,0,31,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,s__Clavaria_flavipes
OTU134,0,32,9,99,0,3,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella,
OTU158,0,31,12,0,0,1,k__Fungi,p__Ascomycota,,,,,
OTU294,1,27,3,0,0,0,k__Fungi,p__Ascomycota,,,,,
OTU161,0,26,13,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_gemmifera
OTU100,0,25,35,15,70,85,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,s__Metarhizium_carneum
OTU119,0,25,48,0,2,0,k__Fungi,p__Ascomycota,,,,,
OTU12,27,24,195,205,1568,1310,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Leotiomycetes_fam_Incertae_sedis,g__Leohumicola,s__Leohumicola_verrucosa
OTU92,0,24,105,27,23,3,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_verhagenii
OTU445,4,23,0,0,0,0,k__Fungi,,,,,,
OTU215,0,21,11,0,0,0,k__Fungi,p__Basidiomycota,c__Geminibasidiomycetes,o__Geminibasidiales,f__Geminibasidiaceae,g__Geminibasidium,s__unidentified
OTU295,0,18,14,0,3,0,k__Fungi,p__Ascomycota,,,,,
OTU69,6,17,56,14,47,96,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis,s__Umbelopsis_dimorpha
OTU63,6,17,179,18,50,39,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
OTU157,6,17,81,2,24,7,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_humilis
OTU505,0,17,0,0,0,0,k__Fungi,p__Ascomycota,,,,,
OTU217,0,15,0,0,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
OTU189,2,14,15,18,23,10,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,
OTU216,1,14,30,0,1,0,k__Fungi,p__Ascomycota,,,,,
OTU276,28,13,4,0,2,0,k__Fungi,p__GS19,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
OTU51,0,13,188,99,55,39,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,
OTU282,21,10,1,2,3,4,k__Fungi,,,,,,
OTU181,1,10,86,0,1,0,k__Fungi,p__Ascomycota,,,,,
